model,MSE,RMSE,RMSLE,MAE,R2 adjusted,WAPE_%
CatBoostBaselineTrain,5894928942723778.0,76778440.61143583,1.799803967349846,24208523.565596737,0.7153223854317037,48.9748036748231
CatBoostBaselineTest,5843035434928676.0,76439750.35888511,1.9442465612960589,27809983.773219604,0.6585843010981662,55.50819923218389
LGBMBaselineTrain,6377899338583602.0,79861751.4119469,1.7606010949007382,22592390.78659148,0.6919988031567742,45.70530294092829
LGBMBaselineTest,5542783863964557.0,74449874.84183273,1.9731046629882787,27150351.39940825,0.6761283672070755,54.19158554682178
LGBMTunedTrain,7189569218544470.0,84791327.49606217,1.7978101212971933,25421004.84373519,0.652801681785294,51.427701407116736
LGBMTunedTest,5274786586876454.0,72627726.02027723,1.9538727305985035,26712648.18785367,0.6917877755197243,53.31793825275413
LGBMCVTest,5169578278831617.0,71899779.4073919,1.941797147511007,26811477.259353347,0.6979352254918201,53.51519920175256
