iter	Passed	Remaining
400	18182	27160
401	18225	27111
402	18269	27063
403	18311	27014
404	18355	26965
405	18397	26916
406	18445	26875
407	18488	26826
408	18531	26778
409	18575	26731
410	18619	26683
411	18663	26636
412	18710	26593
413	18756	26548
414	18800	26502
415	18853	26466
416	18907	26433
417	18956	26393
418	19001	26347
419	19055	26314
420	19098	26265
421	19141	26217
422	19186	26171
423	19234	26129
424	19278	26082
425	19322	26035
426	19364	25986
427	19410	25940
428	19457	25897
429	19500	25849
430	19544	25802
431	19588	25754
432	19631	25707
433	19675	25659
434	19718	25611
435	19762	25563
436	19806	25517
437	19849	25468
438	19894	25423
439	19937	25374
440	19980	25326
441	20023	25278
442	20066	25230
443	20109	25182
444	20152	25134
445	20196	25087
446	20239	25038
447	20283	24992
448	20331	24949
449	20376	24904
450	20420	24857
451	20464	24810
452	20508	24764
453	20551	24716
454	20594	24668
455	20637	24620
456	20681	24573
457	20726	24528
458	20771	24482
459	20815	24435
460	20860	24389
461	20904	24342
462	20949	24297
463	20992	24249
464	21035	24202
465	21079	24155
466	21123	24108
467	21169	24064
468	21211	24015
469	21256	23969
470	21298	23921
471	21342	23874
472	21385	23827
473	21430	23781
474	21473	23733
475	21517	23687
476	21560	23639
477	21603	23591
478	21646	23545
479	21706	23515
480	21751	23469
481	21794	23422
482	21837	23374
483	21881	23327
484	21924	23280
485	21966	23232
486	22010	23185
487	22054	23138
488	22097	23091
489	22141	23045
490	22183	22997
491	22228	22950
492	22271	22903
493	22313	22855
494	22360	22811
495	22403	22764
496	22446	22717
497	22489	22670
498	22537	22627
499	22581	22581
500	22623	22533
501	22666	22485
502	22710	22439
503	22753	22392
504	22797	22345
505	22841	22299
506	22884	22253
507	22928	22206
508	22972	22159
509	23015	22112
510	23058	22065
511	23102	22019
512	23146	21973
513	23190	21927
514	23234	21881
515	23277	21833
516	23320	21787
517	23364	21740
518	23410	21696
519	23468	21663
520	23512	21617
521	23556	21570
522	23599	21523
523	23641	21476
524	23685	21429
525	23728	21382
526	23771	21335
527	23814	21288
528	23857	21241
529	23906	21200
530	23950	21154
531	23994	21107
532	24037	21060
533	24079	21013
534	24126	20969
535	24169	20922
536	24220	20882
537	24267	20838
538	24316	20797
539	24372	20762
540	24417	20716
541	24461	20670
542	24504	20623
543	24548	20577
544	24593	20532
545	24636	20485
546	24679	20438
547	24727	20395
548	24771	20349
549	24814	20302
550	24861	20259
551	24904	20212
552	24947	20165
553	24990	20118
554	25032	20071
555	25075	20024
556	25117	19976
557	25166	19934
558	25209	19888
559	25252	19841
560	25295	19794
561	25340	19749
562	25384	19703
563	25430	19659
564	25478	19616
565	25522	19570
566	25564	19523
567	25608	19476
568	25653	19431
569	25696	19385
570	25741	19339
571	25783	19292
572	25826	19246
573	25869	19198
574	25912	19153
575	25955	19106
576	25998	19059
577	26042	19013
578	26084	18966
579	26128	18920
580	26171	18874
581	26215	18828
582	26258	18781
583	26302	18736
584	26345	18689
585	26389	18643
586	26435	18599
587	26477	18552
588	26520	18506
589	26573	18466
590	26619	18421
591	26663	18376
592	26707	18330
593	26751	18284
594	26793	18237
595	26838	18192
596	26881	18146
597	26924	18099
598	26968	18054
599	27010	18007
600	27054	17961
601	27097	17915
602	27140	17868
603	27186	17823
604	27229	17777
605	27272	17731
606	27316	17685
